Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
1685bec4-6689-4d55-8681-85efd12ff337,"2020-06-05, 05:22:00 PM",Cloudtrail,ConsoleLogin,,,,us-east-1,,108.46.197.118
c73f7833-234f-4344-a4bf-20d61cd9b2d2,"2020-06-04, 08:39:03 PM",root,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:519113664765:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
fb2314a3-8b6b-4df0-b525-f7f9c12957c6,"2020-06-04, 08:39:03 PM",root,UpdateTrail,CloudTrail Trail and 2 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:519113664765:trail/Udacity_Trail""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::519113664765:role/CloudTrail_CloudWatchLogs_Role""},{""resourceType"":""AWS::Logs::LogGroup"",""resourceName"":""arn:aws:logs:us-east-1:519113664765:log-group:CloudTrail/DefaultLogGroup:*""}]",,us-east-1,InvalidCloudWatchLogsRoleArnException,108.46.197.118
3088995b-c157-4791-906e-809dd40774b5,"2020-06-04, 08:38:56 PM",root,PutRolePolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""oneClick_CloudTrail_CloudWatchLogs_Role_1591317533061""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""CloudTrail_CloudWatchLogs_Role""}]",,us-east-1,,108.46.197.118
bd8b00db-ba97-4a58-9940-2380efc9fdb8,"2020-06-04, 08:38:56 PM",root,CreateRole,IAM Role,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::519113664765:role/CloudTrail_CloudWatchLogs_Role""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""CloudTrail_CloudWatchLogs_Role""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAXRXMV5D6VXDYNZM5M""}]",,us-east-1,,108.46.197.118
2e5ba376-7255-4dd0-81d3-551734d7290a,"2020-06-04, 08:38:49 PM",root,CreateLogGroup,,,,us-east-1,,108.46.197.118
d044f1ec-6b19-4f07-8bdc-9760782888ce,"2020-06-04, 08:37:28 PM",root,ConsoleLogin,,,,us-east-1,,108.46.197.118
48fe4dd6-b46a-40d0-adeb-3d3d00a1aa6b,"2020-06-04, 08:32:47 PM",Cloudtrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:519113664765:trail/Udacity_Trail""}]",,us-east-1,,108.46.197.118
4e538715-7774-4e4c-8ea6-7de17e77597e,"2020-06-04, 08:29:59 PM",Cloudtrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:519113664765:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""neeltrails""}]",,us-east-1,,108.46.197.118
783e97e5-ad4b-4b1a-bf13-b32649387d69,"2020-06-04, 08:29:59 PM",Cloudtrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:519113664765:trail/Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,108.46.197.118
